Ja,sì
Schlafzimmer,la camera da letto
Etage,il piano
Aufzug,l‘ascensore
Rezeption,"la reception, l‘accettazione"
Handtuch,l‘asciugamano
Nebenraum,la stanza attigua
Gepäck,il bagaglio
Page,il paggio
Kochnische,angolo cottura / la cucinetta
Bettwäsche,la biancheria da letto
Kammerdiener,il cameriere particolare
Lobby,la lobby
Anzahlung,l‘acconto
Einchecken,fare il check-in
Auschecken,sbrigare le formalità doganali all’arrivo
gratis,gratuito / gratuita
Zahlen,Numeri
Eins,uno
Zwei,due
Drei,tre
Vier,quattro
Fünf,cinque
Sechs,sei
Sieben,sette
Acht,otto
Neun,nove
Zehn,dieci
Elf,undici
Zwölf,dodici
Dreizehn,tredici
Vierzehn,quattordici
Fünfzehn,quindici
Sechszehn,sedici
Siebzehn,diciassette
Achtzehn,diciotto
Neunzehn,diciannove
Zwanzig,venti
Dreißig,trenta
Vierzig,quaranta
Fünfzig,cinquanta
Sechszig,sessanta
Siebzieg,settanta
Achzig,ottanta
Neunzig,novanta
Hundert,cento
Zweihundert,duecento
Tausend,mille
Zweitausend,duemila
Million,milione
Milliarde,miliardo
erste(r),primo
zweite(r),secondo
dritte(r),terzo
vierte(r),quarto
fünfte(r),quinto
sechste(r),sesto
siebte(r),settimo
Personalpronomen,Pronomi personali
ich,io
du,tu
er,lui
sie,lei
wir,noi
ihr,voi
sie,loro
Wichtige Wörter,Parole importanti
Ding,la cosa
sicher,sicuro
der/die,"il, lo, l‘ / la, l‘"
und,e
oder,o
weil,perché
Leben,la vita
Regierung,il governo
Kind,il bambino
Firma,la ditta / azienda
Gruppe,il gruppo
Alter,l‘età
Mond,la luna
Sonne,il sole
Auto,l‘auto / la macchina
Buch,il libro
Welt,il mondo
Familie,la famiglia
Freund / Freundin,l‘amico / l‘amica
Gesetz,la legge
Mensch / Körper,Umano / Corpo
Mann,l‘uomo
Frau,la donna
Junge,il ragazzo
Mädchen,la ragazza
Arm,il braccio
Hand,la mano
Bein,la gamba
Fuß,il piede
Auge,l‘occhio
Kopf,"la testa, il capo"
Gehirn,il cervello
Nase,il naso
Ohr,l‘orecchio
Haar,"il capello, il pelo"
Augenbraue,il sopracciglio
Lippe,il labbro
Finger,il dito
Skelett,lo scheletro
Knochen,l‘osso
Haut,la pelle
Wichtige Verben,Verbi importanti
sein,essere
bekommen,ottenere
geben,dare
leben,vivere
machen,fare
gehen,camminare
benutzen,usare
essen,mangiare
denken,pensare
kommen,venire
haben,avere
tun,fare
sagen,dire
gehen,andare
wissen,sapere
sehen,vedere
wollen,volere
finden,trovare
erzählen,raccontare
fragen,chiedere
versuchen,provare
anrufen,chiamare
Wichtige Adjektive,Aggettivi importanti
schön,bello / bella
hässlich,brutto / brutta
hoch / groß,alto / alta
klein,piccolo / piccola
alt / älter,grande
neu,nuovo / nuova
lang,lungo / lunga
großartig,"ottimo / ottima, grande"
alt,vecchio / vecchia
jung,giovane
anders,diverso / diversa
wichtig,importante
schlecht,cattivo / cattiva
lustig,divertente
ernst,serio / seria
stark,forte
einfach,facile
schwer,difficile
arm,povero / povera
reich,ricco / ricca
